"CallID","EmployeeID","CallDate","CallType","CurrentCustomer","Territory","CompanyType","EstimatedCompanyRev","FlaggedForCallBack","CallDuration","Score"
"CID.66","REP-14","2014-07-10","Product Information","yes","Midwest","Academic","1-5","No",3820,0.649086442776024
"CID.67","REP-33","2015-01-22","Tech Question","yes","Midwest","Tech","10-25","No",2800,0.943473077379167
"CID.68","REP-30","2014-09-23","MISC","no","East","Tech","<1","No",1870,0.889428976457566
"CID.69","REP-10","2014-10-04","Billing","no","Midwest","Academic","10-25","No",2930,0.727738311048597
"CID.70","REP-8","2015-04-15","MISC","no","Midwest","None","10-25","No",770,0.685960803413764
"CID.71","REP-30","2014-10-06","Pricing","no","West","Tech","25-50","No",3310,0.156759924953803
"CID.72","REP-23","2014-08-06","Pricing","no","West","Sales","50+","No",240,0.53743078536354
"CID.73","REP-30","2014-12-07","MISC","yes","Midwest","Sales","10-25","No",2260,0.815669707488269
"CID.74","REP-16","2015-04-15","Billing","no","Midwest","Sales","6-10","No",3900,0.297790601151064
"CID.75","REP-30","2015-02-25","Billing","yes","West","Govt","1-5","No",1680,0.29563090740703
"CID.76","REP-9","2015-05-16","Billing","yes","West","Govt","<1","No",2360,0.718093477189541
"CID.77","REP-32","2014-11-25","MISC","no","East","Retail","6-10","Yes",3640,0.994687567465007
"CID.78","REP-1","2015-04-25","Pricing","no","East","Retail","<1","No",530,0.498727843165398
"CID.79","REP-18","2014-09-24","Product Information","yes","West","Retail","25-50","No",3300,0.584549112711102
"CID.80","REP-15","2015-04-12","Product Information","no","West","Utility","6-10","Yes",2530,0.858740305062383
"CID.81","REP-13","2014-09-28","Product Information","no","Midwest","Utility","25-50","No",170,0.111500260885805
"CID.82","REP-16","2015-02-01","Product Information","yes","West","Utility","1-5","No",540,0.211767730070278
"CID.83","REP-7","2015-02-22","Pricing","yes","Midwest","Utility","<1","No",2450,0.490976210683584
"CID.84","REP-4","2015-05-11","Product Information","yes","West","Govt","6-10","No",2820,0.407080609584227
"CID.85","REP-18","2014-12-02","Tech Question","no","West","Govt","6-10","No",500,0.402461051708087
"CID.86","REP-21","2014-07-20","Billing","yes","Midwest","None","10-25","No",1800,0.741728215012699
"CID.87","REP-28","2015-05-05","Product Information","yes","East","Retail","10-25","No",760,0.00260141934268177
"CID.88","REP-1","2014-08-21","Billing","no","Midwest","None","6-10","No",1820,0.397580310236663
"CID.89","REP-6","2014-07-04","Tech Question","no","West","Govt","10-25","No",2840,0.208719530841336
"CID.90","REP-4","2014-11-08","Product Information","no","West","Academic","6-10","No",2030,0.138559642015025
"CID.91","REP-17","2014-09-30","Product Information","no","East","None","<1","No",2870,0.484858328476548
"CID.92","REP-31","2015-04-02","MISC","yes","West","Tech","1-5","No",2120,0.420449475059286
"CID.93","REP-3","2014-12-30","Pricing","no","East","Tech","<1","No",920,0.990291970316321
"CID.94","REP-10","2015-05-10","Product Information","yes","West","None","10-25","No",2180,0.57275156583637
"CID.95","REP-31","2014-12-21","Tech Question","yes","Midwest","None","10-25","No",2690,0.883894660975784
"CID.96","REP-28","2015-04-24","Product Information","yes","Midwest","Academic","10-25","No",2900,0.601774803595617
"CID.97","REP-7","2014-10-26","Billing","yes","West","Utility","25-50","No",1330,0.332274613669142
"CID.98","REP-30","2015-01-08","Billing","no","East","Tech","10-25","No",1560,0.185347442049533
"CID.99","REP-4","2014-09-05","Pricing","yes","West","Retail","6-10","No",2290,0.241903126006946
"CID.100","REP-22","2014-12-23","Pricing","no","East","Retail","25-50","No",2700,0.678605776978657
"CID.101","REP-12","2014-12-09","Billing","yes","Midwest","Academic","10-25","No",3950,0.187253637472168
"CID.102","REP-2","2014-07-15","MISC","yes","East","Tech","10-25","Yes",3450,0.11135797156021
"CID.103","REP-32","2014-06-02","Billing","no","Midwest","Sales","25-50","No",2100,0.300815854920074
"CID.104","REP-10","2014-10-08","Product Information","yes","West","None","50+","No",3650,0.50666788010858
"CID.105","REP-4","2014-12-24","Product Information","no","Midwest","Academic","6-10","No",3280,0.774947989964858
"CID.106","REP-32","2014-12-08","Tech Question","yes","Midwest","Tech","<1","No",330,0.290335516678169
"CID.107","REP-21","2015-01-21","MISC","no","West","Sales","6-10","No",1660,0.204147471114993
"CID.108","REP-16","2014-11-19","Tech Question","yes","Midwest","Academic","50+","No",2950,0.69646393507719
"CID.109","REP-7","2015-03-18","Product Information","no","East","None","10-25","No",2650,0.502299407497048
"CID.110","REP-14","2015-03-01","Product Information","no","Midwest","Tech","6-10","No",2970,0.409818697022274
"CID.111","REP-19","2014-09-04","Pricing","yes","West","Retail","10-25","No",210,0.211885666940361
"CID.112","REP-5","2014-08-05","Pricing","yes","Midwest","Academic","6-10","No",1930,0.438698518555611
"CID.113","REP-27","2015-03-04","Billing","yes","Midwest","Tech","50+","No",3090,0.0779462880454957
"CID.114","REP-7","2015-04-28","MISC","no","Midwest","Tech","50+","No",790,0.747465825872496
"CID.115","REP-4","2015-03-30","Product Information","no","Midwest","Tech","10-25","No",310,0.61473135673441
"CID.116","REP-29","2014-10-03","Pricing","no","West","Academic","<1","No",2280,0.204880893463269
"CID.117","REP-25","2014-10-11","Pricing","yes","Midwest","Retail","<1","No",2690,0.0835369464475662
"CID.118","REP-12","2015-02-11","MISC","no","Midwest","Sales","<1","No",1920,0.731230201199651
"CID.119","REP-11","2015-04-05","MISC","yes","East","Govt","10-25","No",2580,0.488722110399976
"CID.120","REP-33","2014-11-22","MISC","yes","Midwest","Sales","25-50","No",3730,0.663188659818843
"CID.121","REP-8","2014-11-10","Pricing","yes","Midwest","Sales","1-5","No",770,0.524730500997975
"CID.122","REP-8","2015-04-24","Product Information","yes","East","Utility","6-10","No",3850,0.0280792592093349
"CID.123","REP-3","2015-04-17","Pricing","no","Midwest","Utility","10-25","No",1230,0.144152336521074
"CID.124","REP-25","2014-11-11","Product Information","yes","West","None","10-25","No",620,0.432015454396605
"CID.125","REP-30","2014-09-23","Product Information","no","Midwest","Tech","25-50","No",3670,0.339223583461717
"CID.126","REP-7","2014-07-21","Billing","no","East","Academic","6-10","No",2340,0.261414194945246
"CID.127","REP-34","2015-01-28","Product Information","yes","West","Tech","10-25","No",3190,0.336844143457711
"CID.128","REP-3","2014-06-06","Pricing","yes","Midwest","Tech","25-50","No",2280,0.525650122668594
"CID.129","REP-10","2014-06-22","Product Information","no","East","Govt","50+","No",3560,0.522403108887374
"CID.130","REP-34","2014-06-06","Pricing","no","East","None","10-25","No",3740,0.487631431547925
"CID.131","REP-22","2015-04-20","Tech Question","yes","Midwest","None","25-50","No",1950,0.236782873282209
"CID.132","REP-10","2014-11-10","MISC","no","West","None","50+","No",2610,0.0346733597107232
"CID.133","REP-11","2014-10-14","Pricing","no","Midwest","Academic","25-50","No",450,0.637671010103077
"CID.134","REP-23","2014-09-12","Pricing","no","Midwest","Sales","6-10","No",50,0.224285718984902
"CID.135","REP-4","2015-03-20","Product Information","no","East","Sales","25-50","Yes",960,0.737006717128679
"CID.136","REP-31","2014-08-08","Pricing","no","West","Govt","50+","Yes",2840,0.528636701172218
"CID.137","REP-11","2014-11-18","Product Information","yes","East","Utility","10-25","No",1880,0.830910401884466
"CID.138","REP-34","2015-03-03","Pricing","yes","Midwest","Academic","25-50","No",3640,0.0617423641961068
"CID.139","REP-30","2014-07-23","Pricing","yes","East","Tech","10-25","No",1200,0.371628152672201
"CID.140","REP-34","2015-03-19","Tech Question","yes","West","Tech","10-25","No",3520,0.232847830979154
"CID.141","REP-30","2014-09-14","Tech Question","no","Midwest","Retail","1-5","No",3920,0.432737670373172
"CID.142","REP-16","2015-02-07","Billing","yes","East","Tech","10-25","No",1430,0.971329655731097
"CID.143","REP-25","2014-05-26","Tech Question","yes","East","Utility","10-25","No",2310,0.154308493481949
"CID.144","REP-15","2014-09-15","Product Information","no","West","None","25-50","No",2420,0.474792817607522
"CID.145","REP-15","2015-01-13","MISC","yes","Midwest","Utility","6-10","No",2890,0.633522957097739
"CID.146","REP-12","2014-10-15","Tech Question","yes","Midwest","Utility","10-25","No",2080,0.493635145714507
"CID.147","REP-15","2015-04-15","Product Information","no","East","Academic","<1","Yes",1960,0.185234040720388
"CID.148","REP-18","2014-12-06","Pricing","no","Midwest","Academic","<1","No",1640,0.557279783301055
"CID.149","REP-7","2014-11-24","Billing","yes","Midwest","Retail","<1","No",3080,0.941270587500185
"CID.150","REP-20","2014-12-12","Product Information","yes","East","Govt","25-50","No",2910,0.874346342869103
"CID.151","REP-18","2014-10-09","Product Information","yes","Midwest","Govt","<1","Yes",1520,0.816093796398491
"CID.152","REP-27","2014-08-30","Tech Question","yes","Midwest","None","50+","No",1980,0.590753199765459
"CID.153","REP-10","2015-03-28","Product Information","no","Midwest","Academic","<1","No",3490,0.694621171802282
"CID.154","REP-8","2015-02-17","Tech Question","no","West","Tech","10-25","No",880,0.787088009528816
"CID.155","REP-21","2015-04-04","MISC","yes","East","Academic","1-5","No",3940,0.85275950958021
"CID.156","REP-9","2014-12-13","Pricing","yes","West","Utility","<1","No",1390,0.301507882308215
"CID.157","REP-29","2014-08-04","Pricing","yes","Midwest","Sales","10-25","Yes",2020,0.407140349270776
"CID.158","REP-15","2015-01-04","Pricing","yes","Midwest","Tech","10-25","No",2780,0.728970756754279
"CID.159","REP-23","2014-10-14","Billing","no","Midwest","Academic","10-25","Yes",890,0.821907142642885
"CID.160","REP-22","2014-12-10","Pricing","yes","East","None","25-50","No",160,0.152772417291999
"CID.161","REP-24","2015-04-22","Product Information","yes","Midwest","Tech","50+","No",10,0.939888977911323
"CID.162","REP-1","2014-06-22","MISC","yes","West","Retail","10-25","No",1940,0.922411667183042
"CID.163","REP-22","2015-04-18","MISC","no","West","Utility","10-25","No",1750,0.205200247466564
"CID.164","REP-11","2015-04-08","Pricing","yes","East","Tech","10-25","No",1230,0.631748596671969
"CID.165","REP-9","2014-07-14","MISC","no","Midwest","Govt","50+","No",530,0.937520994571969
"CID.166","REP-5","2015-04-19","MISC","no","West","Academic","<1","No",2570,0.514515896560624
"CID.167","REP-28","2015-05-20","MISC","yes","West","Tech","10-25","No",2950,0.347244135802612
"CID.168","REP-7","2014-08-28","Tech Question","no","West","None","50+","No",240,0.646468321559951
"CID.169","REP-22","2014-09-21","Tech Question","no","Midwest","Tech","10-25","No",770,0.512569352285936
"CID.170","REP-35","2014-09-15","Pricing","no","Midwest","Academic","<1","No",3600,0.823288076091558
"CID.171","REP-12","2014-07-05","Tech Question","no","Midwest","Academic","10-25","Yes",1820,0.610637519741431
"CID.172","REP-8","2015-04-21","Tech Question","no","Midwest","Sales","10-25","No",1800,0.0919357324019074
"CID.173","REP-20","2015-01-26","Tech Question","yes","Midwest","Utility","10-25","No",1630,0.565370829543099
"CID.174","REP-18","2015-03-14","Pricing","yes","Midwest","Retail","50+","No",550,0.932748951716349
"CID.175","REP-11","2014-11-11","Product Information","no","West","Retail","25-50","Yes",2950,0.204902973491699
"CID.176","REP-17","2014-12-13","Tech Question","no","Midwest","Govt","<1","No",3590,0.224268186837435
"CID.177","REP-18","2014-12-26","Pricing","yes","Midwest","Academic","1-5","No",1590,0.249793686904013
"CID.178","REP-19","2014-12-06","MISC","yes","Midwest","Govt","<1","No",2960,0.776022186269984
"CID.179","REP-14","2015-01-06","Pricing","no","West","Tech","10-25","No",1550,0.60230920324102
"CID.180","REP-26","2014-07-23","Tech Question","yes","Midwest","Academic","<1","No",3050,0.345370382070541
"CID.181","REP-10","2014-05-26","Tech Question","no","West","Retail","<1","No",2930,0.676797462394461
"CID.182","REP-2","2015-04-01","Tech Question","no","Midwest","Retail","10-25","No",980,0.465961920563132
"CID.183","REP-7","2015-01-30","MISC","yes","West","Govt","10-25","No",3750,0.114940612111241
"CID.184","REP-26","2014-07-08","Product Information","yes","West","Academic","50+","No",3650,0.330285168252885
"CID.185","REP-28","2015-03-18","Billing","no","West","Sales","1-5","No",2420,0.213213691255078
"CID.186","REP-29","2014-05-30","Billing","yes","Midwest","None","10-25","No",3140,0.828887378564104
"CID.187","REP-26","2014-06-05","Pricing","no","Midwest","Utility","50+","No",2600,0.807426508050412
"CID.188","REP-6","2015-01-28","Pricing","yes","Midwest","Tech","10-25","No",2440,0.306311404565349
"CID.189","REP-3","2014-11-11","Product Information","no","Midwest","Utility","<1","No",1890,0.771603667875752
"CID.190","REP-1","2014-10-16","Billing","no","West","Tech","10-25","No",400,0.707198715070263
"CID.191","REP-24","2014-11-13","Tech Question","yes","West","Academic","10-25","No",3530,0.0495427693240345
"CID.192","REP-21","2014-12-28","Billing","no","East","Govt","10-25","No",1080,0.957294426625594
"CID.193","REP-27","2014-11-22","Pricing","yes","West","Sales","6-10","No",3560,0.579849797068164
"CID.194","REP-23","2014-07-07","MISC","yes","East","Retail","10-25","No",410,0.674747511046007
"CID.195","REP-17","2014-12-22","Product Information","no","Midwest","Retail","10-25","No",3910,0.518251134781167
"CID.196","REP-22","2014-11-07","Pricing","yes","Midwest","Tech","10-25","No",3980,0.569245272548869
"CID.197","REP-34","2015-01-28","Product Information","yes","West","Academic","25-50","No",1940,0.131738195894286
"CID.198","REP-8","2014-08-01","Billing","yes","Midwest","Retail","25-50","No",3580,0.200063963187858
"CID.199","REP-6","2015-01-27","Product Information","no","Midwest","None","10-25","No",2220,0.849012524355203
"CID.200","REP-15","2014-09-20","Pricing","yes","West","None","<1","No",1970,0.406354177277535
"CID.201","REP-21","2014-12-03","Tech Question","no","Midwest","Utility","<1","No",1920,0.423600779147819
"CID.202","REP-13","2014-11-10","Pricing","yes","West","Govt","10-25","No",3400,0.452105974080041
"CID.203","REP-2","2014-11-27","MISC","yes","East","Sales","10-25","No",1900,0.878734285710379
"CID.204","REP-15","2015-02-09","Billing","no","Midwest","Tech","6-10","Yes",1590,0.874967031180859
"CID.205","REP-26","2014-11-26","Tech Question","no","West","Tech","10-25","No",30,0.126150384312496
"CID.206","REP-24","2015-02-23","Pricing","no","West","Sales","10-25","No",1400,0.386316301301122
"CID.207","REP-14","2014-09-07","MISC","yes","Midwest","Sales","10-25","No",1450,0.630013298010454
"CID.208","REP-19","2014-07-01","Billing","no","West","Academic","6-10","No",3390,0.541041192598641
"CID.209","REP-31","2015-05-15","Product Information","no","East","Sales","6-10","No",3680,0.317876261891797
"CID.210","REP-25","2015-04-02","Tech Question","yes","East","Tech","10-25","No",3090,0.590767949819565
"CID.211","REP-30","2014-10-06","Pricing","no","Midwest","Tech","6-10","No",1780,0.0700003672391176
"CID.212","REP-19","2015-01-27","Billing","no","East","Sales","10-25","No",950,0.658600333379582
"CID.213","REP-28","2015-04-24","MISC","no","Midwest","Govt","<1","No",3870,0.598627786850557
"CID.214","REP-17","2015-03-24","Pricing","yes","East","Sales","6-10","No",3550,0.866691704140976
"CID.215","REP-16","2015-02-12","Product Information","yes","West","Govt","10-25","No",2940,0.892794363899156
"CID.216","REP-18","2014-10-09","Billing","yes","East","Tech","1-5","No",2130,0.525249807396904
"CID.217","REP-8","2014-09-19","Pricing","yes","Midwest","Tech","10-25","No",1250,0.119569349335507
"CID.218","REP-26","2015-03-02","Tech Question","no","East","Retail","<1","No",1400,0.736032424494624
"CID.219","REP-22","2014-11-19","Product Information","yes","Midwest","Govt","<1","No",3700,0.720590469427407
"CID.220","REP-31","2015-02-10","MISC","no","Midwest","Retail","10-25","No",230,0.702858076663688
"CID.221","REP-33","2014-11-18","MISC","yes","Midwest","Tech","<1","No",3330,0.492469405755401
"CID.222","REP-15","2014-09-25","Product Information","no","Midwest","Govt","50+","No",3080,0.846415728563443
"CID.223","REP-13","2015-04-19","Tech Question","yes","Midwest","Tech","10-25","No",3450,0.450392507016659
"CID.224","REP-10","2015-03-25","MISC","no","Midwest","Utility","6-10","Yes",320,0.289994159480557
"CID.225","REP-11","2014-09-03","Pricing","no","Midwest","Academic","<1","No",3490,0.601222954457626
"CID.226","REP-11","2014-06-05","MISC","yes","Midwest","Utility","<1","Yes",2950,0.676916957134381
"CID.227","REP-28","2014-09-24","MISC","yes","Midwest","Sales","<1","No",1660,0.896813377505168
"CID.228","REP-25","2014-07-04","Tech Question","no","Midwest","Utility","<1","No",1340,0.40650346619077
"CID.229","REP-16","2015-05-06","Product Information","no","West","Utility","10-25","No",970,0.635065882466733
"CID.230","REP-19","2015-04-05","Billing","yes","East","None","50+","Yes",2580,0.536473179468885
"CID.231","REP-33","2015-03-11","Pricing","yes","West","None","10-25","No",950,0.862965013133362
"CID.232","REP-32","2014-09-15","MISC","yes","East","Sales","25-50","No",3630,0.045595423784107
"CID.233","REP-30","2014-06-07","Billing","no","Midwest","Govt","50+","No",2780,0.824598008068278
"CID.234","REP-15","2014-07-16","Billing","yes","Midwest","Sales","1-5","No",790,0.234028431819752
"CID.235","REP-17","2014-06-15","Pricing","no","East","Retail","10-25","No",1640,0.943868749076501
"CID.236","REP-18","2014-06-18","Product Information","yes","West","Utility","<1","No",530,0.977473951876163
"CID.237","REP-10","2014-08-30","Product Information","no","East","Sales","50+","No",3440,0.106541685061529
"CID.238","REP-18","2015-03-14","MISC","yes","West","Retail","6-10","No",190,0.19914166489616
"CID.239","REP-15","2015-01-30","MISC","no","Midwest","Academic","<1","No",1720,0.559625727823004
"CID.240","REP-12","2015-03-15","Tech Question","no","West","Academic","6-10","No",2280,0.440467866603285
"CID.241","REP-30","2015-02-25","Pricing","yes","Midwest","Sales","25-50","No",1680,0.639742022147402
"CID.242","REP-15","2015-01-15","MISC","no","Midwest","None","6-10","No",3240,0.32594981812872
"CID.243","REP-3","2014-09-15","Tech Question","yes","East","Academic","10-25","No",2190,0.0776564856059849
"CID.244","REP-27","2014-07-02","Tech Question","yes","West","Retail","10-25","No",750,0.311481533572078
"CID.245","REP-18","2014-09-06","Billing","no","Midwest","Govt","10-25","No",3890,0.507575625320897
"CID.246","REP-23","2014-12-24","Product Information","yes","Midwest","Sales","6-10","No",1990,0.550081851426512
"CID.247","REP-1","2015-03-01","Pricing","no","Midwest","Govt","10-25","No",610,0.443652174668387
"CID.248","REP-13","2014-08-12","MISC","yes","West","Tech","<1","No",2320,0.37259952025488
"CID.249","REP-26","2015-04-08","Tech Question","yes","Midwest","Utility","<1","No",2570,0.387549889972433
"CID.250","REP-27","2015-03-20","Billing","yes","West","Retail","10-25","No",3760,0.895166502334177
"CID.251","REP-5","2015-04-21","Tech Question","yes","Midwest","Govt","6-10","No",3890,0.951965206768364
"CID.252","REP-34","2015-01-17","Pricing","no","East","Retail","6-10","No",670,0.411644692765549
"CID.253","REP-13","2015-03-09","MISC","no","Midwest","Retail","50+","No",790,0.27490061451681
"CID.254","REP-2","2015-02-22","Product Information","no","West","Academic","6-10","No",3910,0.47475311323069
"CID.255","REP-3","2015-02-21","Product Information","no","West","Academic","<1","No",3640,0.547452139435336
"CID.256","REP-24","2014-07-09","Product Information","no","West","Academic","6-10","No",1190,0.76133425720036
"CID.257","REP-25","2014-08-30","Tech Question","no","West","Retail","10-25","No",3790,0.990601638099179
"CID.258","REP-18","2015-01-22","Billing","no","Midwest","Sales","25-50","No",1360,0.497423209249973
"CID.259","REP-28","2015-01-24","Billing","no","Midwest","Sales","25-50","No",2940,0.757139882072806
"CID.260","REP-25","2015-02-10","Product Information","yes","Midwest","Tech","50+","No",100,0.296266573714092
"CID.261","REP-15","2015-04-08","Billing","no","West","Retail","50+","No",1150,0.692883748793975
"CID.262","REP-26","2014-08-30","Billing","no","Midwest","Retail","10-25","No",220,0.574481067946181
"CID.263","REP-9","2014-05-31","MISC","yes","East","Academic","<1","No",10,0.889427537797019
"CID.264","REP-26","2015-01-28","Pricing","no","West","Retail","<1","No",2390,0.458672693232074
"CID.265","REP-31","2015-01-24","Pricing","yes","East","Sales","6-10","No",1520,0.596145725576207
"CID.266","REP-33","2014-09-14","MISC","no","Midwest","Retail","10-25","No",3270,0.501043957658112
"CID.267","REP-11","2015-02-02","Tech Question","no","Midwest","Tech","10-25","No",3310,0.136388793587685
"CID.268","REP-27","2014-06-29","Product Information","no","Midwest","Sales","6-10","No",2520,0.379133776528761
"CID.269","REP-9","2014-06-17","Tech Question","yes","West","Govt","25-50","No",840,0.0314919298980385
"CID.270","REP-20","2015-01-17","Billing","no","Midwest","Academic","10-25","No",3230,0.393033916130662
"CID.271","REP-4","2014-09-12","Pricing","yes","West","Govt","25-50","No",970,0.289289195556194
"CID.272","REP-9","2015-01-29","Tech Question","no","West","Tech","10-25","No",3350,0.646752811735496
"CID.273","REP-7","2014-07-04","Billing","no","Midwest","Sales","6-10","No",1000,0.0178428122308105
"CID.274","REP-5","2015-02-17","Pricing","no","Midwest","Academic","6-10","No",2590,0.169549352955073
"CID.275","REP-31","2014-07-09","Pricing","yes","Midwest","Tech","10-25","No",3220,0.61993152089417
"CID.276","REP-35","2015-05-12","MISC","yes","West","Utility","1-5","No",240,0.669337157160044
"CID.277","REP-25","2015-04-12","MISC","no","West","Sales","6-10","No",570,0.145555264782161
"CID.278","REP-34","2014-07-06","Billing","no","West","Tech","25-50","No",2450,0.991277639754117
"CID.279","REP-30","2014-05-27","Billing","no","East","Retail","10-25","No",590,0.0307666731532663
"CID.280","REP-22","2015-04-23","MISC","yes","Midwest","Govt","25-50","No",1820,0.978306966368109
"CID.281","REP-3","2015-03-08","Tech Question","no","West","Govt","<1","No",890,0.371324580628425
